amt,gender,city_pop,is_fraud,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
55.47,0,1228,0,28.0,7,2019,0.696,0.805,0,0,0,0,0,0,1,0,0,0,0,0,0
20.3,1,2644,0,39.0,4,2020,0.609,0.526,0,0,0,0,1,0,0,0,0,0,0,0,0
18.84,1,653,0,53.0,2,2020,0.973,0.171,0,0,0,0,0,0,1,0,0,0,0,0,0
15.1,0,355,0,64.0,8,2019,0.901,0.377,0,0,0,0,0,0,0,1,0,0,0,0,0
406.3,0,4895,0,61.0,11,2019,0.635,0.637,0,0,0,0,0,0,0,0,1,0,0,0,0
108.94,1,277,0,47.0,7,2019,0.746,0.737,0,0,0,1,0,0,0,0,0,0,0,0,0
274.92,0,45100,0,26.0,6,2020,0.506,0.541,0,0,0,0,0,0,0,1,0,0,0,0,0
380.77,0,106,0,36.0,4,2020,0.167,0.019,0,0,0,0,0,0,0,0,1,0,0,0,0
135.83,0,54185,0,26.0,3,2019,0.297,0.726,0,0,0,0,0,0,0,0,0,1,0,0,0
9.93,1,151815,0,32.0,6,2020,0.44,0.577,0,0,0,0,0,0,0,0,0,0,0,1,0
87.49,0,21125,0,34.0,6,2019,0.405,0.325,0,1,0,0,0,0,0,0,0,0,0,0,0
60.73,1,519,0,53.0,7,2019,0.744,0.991,0,1,0,0,0,0,0,0,0,0,0,0,0
103.92,0,73,0,85.0,3,2020,0.643,0.598,1,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,504,0,39.0,3,2020,0.875,0.052,0,0,0,0,0,0,0,0,0,0,0,1,0
67.49,0,1563,0,41.0,4,2019,0.318,0.609,0,0,0,0,0,0,0,0,0,1,0,0,0
24.99,0,144160,0,34.0,3,2019,0.005,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.68,0,71485,0,45.0,8,2019,0.095,0.356,0,0,0,0,0,0,1,0,0,0,0,0,0
9.32,1,626,0,59.0,6,2020,0.895,0.257,0,0,0,0,0,0,0,0,1,0,0,0,0
1.83,0,4074,0,43.0,5,2019,0.748,0.46,0,0,0,0,0,0,0,0,0,0,0,1,0
30.28,1,60,0,77.0,12,2019,0.994,0.385,0,1,0,0,0,0,0,0,0,0,0,0,0
8.17,0,836,0,38.0,2,2020,0.376,0.438,0,0,0,0,0,0,0,0,1,0,0,0,0
25.85,0,5621,0,45.0,10,2019,0.58,0.164,1,0,0,0,0,0,0,0,0,0,0,0,0
47.96,0,1312922,0,19.0,11,2019,0.015,0.236,0,1,0,0,0,0,0,0,0,0,0,0,0
241.74,1,5196,0,41.0,9,2019,0.039,0.961,1,0,0,0,0,0,0,0,0,0,0,0,0
8.97,1,9165,0,55.0,3,2019,0.591,0.434,0,0,0,0,0,0,0,0,0,0,1,0,0
136.48,0,6508,0,37.0,2,2019,0.5,0.505,0,0,0,0,0,0,0,1,0,0,0,0,0
5.62,0,13973,0,38.0,12,2019,0.0,0.609,0,0,0,0,0,0,0,0,0,0,1,0,0
2.73,0,9594,0,22.0,12,2019,0.172,0.92,0,0,0,0,0,0,0,0,0,1,0,0,0
43.56,0,1766,0,43.0,6,2019,0.825,0.679,0,1,0,0,0,0,0,0,0,0,0,0,0
154.56,0,331,0,69.0,8,2019,0.94,0.883,0,0,0,0,0,0,0,0,0,0,1,0,0
59.59,0,94014,0,33.0,8,2019,0.74,0.681,0,0,0,0,0,1,0,0,0,0,0,0,0
5.24,0,2303,0,31.0,7,2019,0.637,0.155,0,0,0,0,0,0,0,0,0,0,1,0,0
3.6,1,13835,0,52.0,2,2020,0.356,0.935,0,0,0,0,0,0,0,0,0,0,0,1,0
66.07,1,168,0,41.0,4,2020,0.105,0.941,0,1,0,0,0,0,0,0,0,0,0,0,0
30.46,0,760,0,34.0,6,2020,0.319,0.987,0,0,0,0,1,0,0,0,0,0,0,0,0
74.78,1,95,0,25.0,2,2019,0.112,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0
42.21,1,239,0,63.0,12,2019,0.72,0.096,0,0,0,0,1,0,0,0,0,0,0,0,0
20.51,1,1063,0,91.0,6,2019,0.984,0.757,0,0,0,0,0,0,0,0,0,0,1,0,0
79.31,0,743,0,47.0,8,2019,0.505,0.869,0,0,0,0,0,0,0,0,0,1,0,0,0
7.76,0,391389,0,26.0,5,2020,0.615,0.976,0,0,0,0,0,0,1,0,0,0,0,0,0
16.03,0,4090,0,42.0,10,2019,0.82,0.174,0,0,0,0,0,0,0,0,1,0,0,0,0
5.01,0,489,0,62.0,7,2019,0.309,0.401,0,0,0,0,0,1,0,0,0,0,0,0,0
68.9,0,602,0,64.0,4,2019,0.445,0.917,0,1,0,0,0,0,0,0,0,0,0,0,0
32.48,0,4074,0,44.0,1,2020,0.742,0.803,0,0,0,0,0,0,1,0,0,0,0,0,0
57.61,0,61,0,79.0,10,2019,0.673,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0
221.58,0,149,0,41.0,4,2020,0.464,0.839,0,0,0,0,1,0,0,0,0,0,0,0,0
28.76,0,3688,0,31.0,3,2019,0.705,0.986,0,0,0,0,0,0,1,0,0,0,0,0,0
70.9,1,3202,0,22.0,6,2020,0.993,0.075,0,0,0,0,0,0,0,0,1,0,0,0,0
83.81,1,828,0,28.0,12,2019,0.208,0.934,0,0,0,0,0,1,0,0,0,0,0,0,0
203.38,0,26551,0,42.0,12,2019,0.881,0.27,0,0,0,1,0,0,0,0,0,0,0,0,0
36.0,1,194500,0,28.0,8,2019,0.594,0.826,0,0,0,1,0,0,0,0,0,0,0,0,0
58.78,1,223,0,80.0,6,2019,0.864,0.844,0,1,0,0,0,0,0,0,0,0,0,0,0
5.17,1,4878,0,52.0,7,2019,0.25,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0
73.35,1,76383,0,34.0,7,2019,0.544,0.428,0,1,0,0,0,0,0,0,0,0,0,0,0
221.06,1,298,0,56.0,12,2019,0.481,0.026,0,0,0,0,0,1,0,0,0,0,0,0,0
1.07,0,67082,0,56.0,12,2019,0.033,0.303,0,0,0,0,1,0,0,0,0,0,0,0,0
16.73,1,301,0,52.0,12,2019,0.673,0.32,0,0,0,0,0,0,1,0,0,0,0,0,0
7.65,0,61,0,79.0,4,2019,0.793,0.703,0,0,0,0,1,0,0,0,0,0,0,0,0
133.3,0,276002,0,84.0,3,2019,0.78,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0
8.96,1,1382480,0,28.0,5,2019,0.348,0.934,0,0,0,0,0,0,1,0,0,0,0,0,0
8.14,0,6841,0,19.0,4,2019,0.563,0.924,0,0,1,0,0,0,0,0,0,0,0,0,0
48.81,0,1766,0,44.0,3,2020,0.416,0.557,0,1,0,0,0,0,0,0,0,0,0,0,0
40.85,1,1514,0,52.0,4,2019,0.421,0.214,0,1,0,0,0,0,0,0,0,0,0,0,0
58.6,0,1679,0,33.0,11,2019,0.176,0.305,0,0,0,0,0,1,0,0,0,0,0,0,0
33.4,1,8512,0,68.0,5,2020,0.214,0.887,0,0,0,0,0,0,0,0,0,0,0,1,0
74.63,0,6120,0,42.0,6,2019,0.022,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0
11.82,0,149,0,41.0,8,2019,0.332,0.931,0,0,0,0,1,0,0,0,0,0,0,0,0
97.86,0,6120,0,42.0,9,2019,0.288,0.915,0,0,0,0,0,1,0,0,0,0,0,0,0
82.32,0,2807,0,88.0,11,2019,0.772,0.697,0,0,0,0,0,1,0,0,0,0,0,0,0
29.86,0,498,0,29.0,5,2020,0.555,0.88,0,0,0,0,0,0,0,0,0,1,0,0,0
222.42,0,78968,0,50.0,1,2019,0.63,0.887,0,0,0,0,0,0,0,0,1,0,0,0,0
2.72,1,20478,0,22.0,8,2019,0.777,0.773,0,0,0,0,0,0,0,0,0,0,0,1,0
26.28,0,1143,0,58.0,5,2020,0.136,0.768,0,0,0,0,0,0,1,0,0,0,0,0,0
2.57,0,765,0,47.0,11,2019,0.84,0.162,0,0,0,0,0,0,0,0,0,0,0,0,1
357.19,0,1925,0,53.0,7,2019,0.733,0.107,0,0,0,0,0,0,0,0,0,0,1,0,0
6.03,1,5507,0,46.0,8,2019,0.317,0.733,0,0,0,0,0,0,0,0,0,0,0,1,0
5.89,1,32891,0,32.0,9,2019,0.224,0.551,0,0,0,0,0,0,0,0,0,0,0,1,0
95.76,0,427,0,68.0,7,2019,0.785,0.571,0,0,0,1,0,0,0,0,0,0,0,0,0
59.05,0,324,0,42.0,4,2019,0.065,0.023,0,1,0,0,0,0,0,0,0,0,0,0,0
130.63,0,4056,0,29.0,12,2019,0.551,0.395,0,0,0,0,0,1,0,0,0,0,0,0,0
111.07,0,1352,0,27.0,10,2019,0.627,0.008,0,0,0,1,0,0,0,0,0,0,0,0,0
52.52,0,184,0,74.0,11,2019,0.802,0.792,0,0,0,0,0,1,0,0,0,0,0,0,0
7.45,0,1675,0,33.0,5,2019,0.535,0.794,0,0,0,0,0,0,0,0,0,0,0,1,0
80.53,1,2457,0,38.0,3,2019,0.112,0.34,0,0,0,0,0,1,0,0,0,0,0,0,0
1.06,1,732,0,63.0,6,2020,0.779,0.755,0,0,0,0,0,0,0,0,0,0,0,0,1
69.38,0,5875,0,27.0,12,2019,0.087,0.283,1,0,0,0,0,0,0,0,0,0,0,0,0
514.86,1,565,0,40.0,7,2019,0.632,0.035,0,0,0,0,0,0,0,0,0,0,0,0,1
55.06,1,571,0,52.0,6,2020,0.919,0.018,1,0,0,0,0,0,0,0,0,0,0,0,0
54.84,1,1126,0,64.0,10,2019,0.253,0.915,0,0,1,0,0,0,0,0,0,0,0,0,0
5.03,1,60,0,77.0,9,2019,0.321,0.273,0,0,0,0,0,0,1,0,0,0,0,0,0
57.81,1,272134,0,56.0,6,2020,0.196,0.238,0,0,1,0,0,0,0,0,0,0,0,0,0
61.77,0,1089,0,48.0,12,2019,0.021,0.401,0,0,0,0,0,1,0,0,0,0,0,0,0
21.21,1,71463,0,30.0,5,2019,0.162,0.577,0,0,0,0,0,0,1,0,0,0,0,0,0
78.13,1,105549,0,46.0,4,2020,0.469,0.231,1,0,0,0,0,0,0,0,0,0,0,0,0
5.46,1,128,0,53.0,12,2019,0.059,0.714,0,0,0,0,0,0,0,0,0,0,1,0,0
1.57,0,19685,0,34.0,8,2019,0.582,0.126,0,0,0,0,0,0,0,0,0,0,1,0,0
19.46,0,2054,0,55.0,6,2019,0.741,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0
56.43,0,5161,0,26.0,1,2020,0.09,0.251,0,0,1,0,0,0,0,0,0,0,0,0,0
166.54,0,7155,0,43.0,3,2020,0.64,0.248,0,0,0,1,0,0,0,0,0,0,0,0,0
10.32,1,648,0,50.0,1,2020,0.421,0.351,0,0,0,0,0,1,0,0,0,0,0,0,0
14.0,0,811,0,47.0,1,2020,0.051,0.884,1,0,0,0,0,0,0,0,0,0,0,0,0
126.06,0,338,0,31.0,1,2020,0.97,0.949,0,0,0,1,0,0,0,0,0,0,0,0,0
98.57,1,20328,0,34.0,8,2019,0.11,0.972,0,1,0,0,0,0,0,0,0,0,0,0,0
70.05,1,20328,0,34.0,12,2019,0.126,0.523,0,0,1,0,0,0,0,0,0,0,0,0,0
86.07,0,1523,0,35.0,10,2019,0.106,0.903,0,0,0,1,0,0,0,0,0,0,0,0,0
78.54,1,140,0,78.0,4,2020,0.862,0.088,0,0,0,0,0,1,0,0,0,0,0,0,0
177.01,1,198,0,60.0,10,2019,0.284,0.683,0,0,0,0,0,0,0,0,0,0,0,1,0
90.76,0,525713,0,27.0,11,2019,0.14,0.185,0,0,0,0,0,0,1,0,0,0,0,0,0
17.12,0,1423,0,21.0,10,2019,0.332,0.101,0,0,0,0,0,0,0,0,0,0,1,0,0
35.68,0,2456,0,25.0,3,2020,0.994,0.317,0,1,0,0,0,0,0,0,0,0,0,0,0
80.8,0,7420,0,62.0,7,2019,0.544,0.989,0,0,0,1,0,0,0,0,0,0,0,0,0
49.96,0,3430,0,69.0,12,2019,0.147,0.296,0,1,0,0,0,0,0,0,0,0,0,0,0
13.69,0,50835,0,33.0,6,2019,0.026,0.369,0,0,0,0,0,0,0,0,0,0,1,0,0
10.48,0,2526,0,48.0,9,2019,0.883,0.661,0,0,0,0,0,1,0,0,0,0,0,0,0
118.39,0,1190,0,71.0,12,2019,0.919,0.463,1,0,0,0,0,0,0,0,0,0,0,0,0
4.64,1,1126,0,64.0,12,2019,0.707,0.774,0,0,0,0,0,0,0,0,0,0,1,0,0
21.32,1,23727,0,37.0,4,2019,0.929,0.872,0,0,0,0,1,0,0,0,0,0,0,0,0
91.09,1,595,0,39.0,7,2019,0.745,0.785,0,0,0,0,0,0,0,0,0,0,1,0,0
6.88,0,2408,0,21.0,5,2019,0.384,0.812,0,0,0,0,0,0,0,0,0,0,0,0,1
8.8,1,626,0,59.0,6,2020,0.11,0.227,0,0,0,0,0,0,0,0,0,0,1,0,0
39.36,1,333497,0,51.0,12,2019,0.337,0.229,0,0,0,0,0,0,1,0,0,0,0,0,0
67.08,0,910148,0,43.0,9,2019,0.195,0.935,0,1,0,0,0,0,0,0,0,0,0,0,0
8.15,0,45100,0,25.0,4,2019,0.167,0.576,0,0,0,0,0,0,0,0,0,0,0,1,0
8.55,1,60,0,77.0,9,2019,0.427,0.147,0,0,0,0,0,0,0,1,0,0,0,0,0
9.91,1,2304,0,64.0,12,2019,0.689,0.842,0,0,0,0,1,0,0,0,0,0,0,0,0
11.71,1,134056,0,62.0,5,2019,0.957,0.981,0,0,0,0,0,0,1,0,0,0,0,0,0
6.17,0,5438,0,55.0,1,2020,0.897,0.151,0,0,0,0,0,0,0,0,0,0,0,1,0
122.48,0,3458,0,33.0,4,2019,0.711,0.085,0,0,0,0,0,0,1,0,0,0,0,0,0
2.53,0,165,0,74.0,4,2020,0.933,0.939,0,0,0,0,0,0,1,0,0,0,0,0,0
33.26,1,5211,0,33.0,4,2020,0.407,0.788,0,0,0,0,0,0,1,0,0,0,0,0,0
71.16,1,639,0,37.0,9,2019,0.125,0.148,0,1,0,0,0,0,0,0,0,0,0,0,0
118.82,1,35299,0,44.0,7,2019,0.559,0.478,1,0,0,0,0,0,0,0,0,0,0,0,0
68.84,1,20328,0,34.0,8,2019,0.197,0.263,0,0,0,1,0,0,0,0,0,0,0,0,0
85.77,0,21125,0,34.0,3,2020,0.145,0.232,0,0,0,0,0,1,0,0,0,0,0,0,0
107.96,0,630,0,59.0,6,2019,0.456,0.581,0,0,0,0,0,1,0,0,0,0,0,0,0
45.33,0,2206,0,33.0,2,2020,0.462,0.829,0,1,0,0,0,0,0,0,0,0,0,0,0
2.26,1,248858,0,48.0,11,2019,0.931,0.742,0,0,0,0,0,0,0,1,0,0,0,0,0
82.07,0,344,0,52.0,5,2019,0.85,0.406,0,1,0,0,0,0,0,0,0,0,0,0,0
21.36,0,255,0,48.0,12,2019,0.076,0.871,0,0,0,0,0,1,0,0,0,0,0,0,0
14.24,0,118,0,61.0,10,2019,0.581,0.199,0,0,0,0,0,0,1,0,0,0,0,0,0
77.84,1,964,0,45.0,1,2020,0.835,0.249,0,0,0,0,1,0,0,0,0,0,0,0,0
73.13,0,4074,0,44.0,1,2020,0.235,0.47,0,0,0,0,0,0,1,0,0,0,0,0,0
52.34,0,1420,0,54.0,2,2020,0.967,0.913,0,1,0,0,0,0,0,0,0,0,0,0,0
55.07,1,9679,0,28.0,5,2019,0.285,0.79,0,0,0,1,0,0,0,0,0,0,0,0,0
7.52,1,140,0,77.0,4,2019,0.185,0.199,0,0,0,0,0,0,0,0,0,0,0,0,1
188.71,0,3255,0,40.0,1,2019,0.787,0.766,0,0,0,0,0,0,0,1,0,0,0,0,0
145.62,0,79613,0,41.0,5,2020,0.69,0.017,0,0,0,0,0,0,1,0,0,0,0,0,0
5.9,0,1288,0,83.0,10,2019,0.989,0.912,0,0,0,0,0,0,0,0,1,0,0,0,0
16.54,0,1530,0,32.0,6,2019,0.448,0.761,1,0,0,0,0,0,0,0,0,0,0,0,0
2.81,1,2661,0,70.0,7,2019,0.841,0.602,0,0,0,0,0,0,0,0,0,0,0,0,1
78.77,0,5621,0,45.0,7,2019,0.299,0.407,0,0,0,0,0,0,0,0,1,0,0,0,0
107.2,0,67082,0,57.0,4,2020,0.181,0.217,0,0,0,1,0,0,0,0,0,0,0,0,0
8.91,1,2870,0,20.0,6,2019,0.211,0.389,0,0,0,0,0,0,0,0,0,0,1,0,0
5.91,0,54287,0,47.0,3,2020,0.903,0.575,0,0,0,0,0,0,0,1,0,0,0,0,0
91.5,1,169,0,66.0,4,2020,0.422,0.196,0,0,0,0,0,0,1,0,0,0,0,0,0
6.54,0,1178,0,68.0,8,2019,0.268,0.193,0,0,0,0,0,0,0,0,0,0,1,0,0
92.7,0,1749,0,45.0,2,2019,0.63,0.511,0,0,0,1,0,0,0,0,0,0,0,0,0
69.05,0,1810,0,44.0,3,2019,0.75,0.18,0,0,0,0,0,0,0,1,0,0,0,0,0
92.35,0,1563,0,41.0,9,2019,0.149,0.771,0,0,0,1,0,0,0,0,0,0,0,0,0
53.42,0,635,0,45.0,6,2019,0.144,0.47,0,0,0,0,0,1,0,0,0,0,0,0,0
5.99,1,6025,0,24.0,1,2020,0.054,0.646,0,0,0,0,0,0,0,0,1,0,0,0,0
33.49,0,123373,0,26.0,7,2019,0.404,0.945,0,0,0,0,0,0,0,0,0,0,0,1,0
49.21,1,206,0,51.0,7,2019,0.986,0.97,0,1,0,0,0,0,0,0,0,0,0,0,0
17.66,1,104396,0,68.0,6,2019,0.821,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0
394.31,1,1196,0,60.0,1,2019,0.906,0.048,0,0,0,0,0,0,0,0,1,0,0,0,0
87.72,1,198,0,41.0,12,2019,0.723,0.491,0,0,0,0,0,1,0,0,0,0,0,0,0
6.52,0,224256,0,33.0,2,2019,0.082,0.672,0,0,0,0,0,0,0,0,0,0,1,0,0
1.96,1,471,0,78.0,12,2019,0.24,0.433,0,0,0,0,0,1,0,0,0,0,0,0,0
7.87,1,9679,0,28.0,12,2019,0.031,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0
45.42,1,3402,0,91.0,5,2019,0.01,0.84,0,0,0,0,0,1,0,0,0,0,0,0,0
6.12,0,1228,0,28.0,11,2019,0.894,0.766,0,0,0,0,0,0,0,0,0,1,0,0,0
90.7,1,686,0,39.0,12,2019,0.623,0.296,0,0,0,1,0,0,0,0,0,0,0,0,0
40.16,0,8874,0,19.0,6,2020,0.124,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0
89.46,0,540,0,36.0,6,2020,0.107,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0
91.2,1,1063,0,91.0,12,2019,0.853,0.091,0,1,0,0,0,0,0,0,0,0,0,0,0
25.89,0,1760,0,48.0,2,2020,0.681,0.808,0,0,1,0,0,0,0,0,0,0,0,0,0
32.42,0,207,0,56.0,6,2019,0.47,0.171,0,0,0,0,1,0,0,0,0,0,0,0,0
23.03,1,1263321,0,60.0,8,2019,0.16,0.964,0,0,0,0,0,0,0,0,0,1,0,0,0
75.89,0,233717,0,53.0,7,2019,0.617,0.931,0,1,0,0,0,0,0,0,0,0,0,0,0
1.8,0,186140,0,36.0,10,2019,0.763,0.451,0,0,0,0,0,0,0,0,1,0,0,0,0
485.58,1,2395,0,26.0,1,2020,0.418,0.283,0,0,0,0,0,0,0,0,0,0,0,0,1
3.85,0,21125,0,34.0,12,2019,0.048,0.381,0,0,0,0,0,0,0,0,0,1,0,0,0
88.34,0,1019,0,40.0,5,2019,0.318,0.102,0,0,0,0,0,1,0,0,0,0,0,0,0
444.29,1,110,0,47.0,6,2020,0.34,0.514,0,0,0,0,0,0,0,0,0,0,0,0,1
13.3,0,27829,0,65.0,5,2020,0.893,0.885,0,0,0,0,0,1,0,0,0,0,0,0,0
69.59,1,477,0,31.0,6,2019,0.016,0.489,0,0,0,0,0,0,0,0,0,1,0,0,0
349.79,0,222,0,55.0,5,2019,0.819,0.196,0,0,0,0,0,1,0,0,0,0,0,0,0
45.31,1,1628,0,52.0,12,2019,0.35,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0
42.54,0,2078,0,56.0,11,2019,0.54,0.813,0,1,0,0,0,0,0,0,0,0,0,0,0
107.87,1,1680,0,42.0,7,2019,0.813,0.685,0,0,0,1,0,0,0,0,0,0,0,0,0
13.78,1,5512,0,40.0,4,2020,0.513,0.983,0,0,0,0,1,0,0,0,0,0,0,0,0
59.1,0,606,0,21.0,4,2019,0.154,0.401,0,0,0,0,0,0,1,0,0,0,0,0,0
40.43,0,1089,0,48.0,5,2020,0.921,0.371,0,0,0,0,0,1,0,0,0,0,0,0,0
4.69,0,149,0,40.0,3,2019,0.547,0.457,0,0,0,0,0,0,0,0,0,0,1,0,0
116.4,0,606,0,22.0,10,2019,0.181,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0
176.63,0,224256,0,33.0,1,2019,0.213,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0
3.78,0,641349,0,52.0,9,2019,0.964,0.562,0,0,0,0,0,1,0,0,0,0,0,0,0
58.98,1,695,0,64.0,4,2019,0.61,0.487,0,1,0,0,0,0,0,0,0,0,0,0,0
12.02,1,3395,0,40.0,12,2019,0.174,0.283,0,0,0,0,0,1,0,0,0,0,0,0,0
2.24,1,5657,0,32.0,3,2020,0.068,0.942,0,0,0,0,0,0,0,0,0,0,0,1,0
26.47,0,1228,0,28.0,4,2019,0.768,0.861,0,0,0,0,0,0,1,0,0,0,0,0,0
2.29,1,46944,0,76.0,2,2019,0.625,0.689,0,0,0,0,0,0,0,0,0,0,0,0,1
32.65,1,804,0,54.0,12,2019,0.417,0.122,0,0,0,0,0,1,0,0,0,0,0,0,0
29.62,0,7646,0,31.0,11,2019,0.975,0.47,0,0,0,0,0,0,1,0,0,0,0,0,0
54.75,1,2135,0,58.0,10,2019,0.495,0.77,0,0,0,0,0,0,0,0,0,1,0,0,0
5.2,0,4575,0,27.0,2,2019,0.535,0.95,0,0,0,0,0,0,0,0,0,0,0,0,1
63.49,1,964,0,44.0,12,2019,0.48,0.999,1,0,0,0,0,0,0,0,0,0,0,0,0
51.28,0,1288,0,82.0,4,2019,0.002,0.925,0,1,0,0,0,0,0,0,0,0,0,0,0
1.95,1,17867,0,21.0,12,2019,0.213,0.254,0,0,0,0,0,0,0,0,0,0,0,1,0
207.83,0,128354,0,28.0,2,2020,0.411,0.577,0,0,0,1,0,0,0,0,0,0,0,0,0
9.82,1,7268,0,31.0,9,2019,0.465,0.781,0,0,0,0,0,0,0,1,0,0,0,0,0
108.75,1,910148,0,32.0,12,2019,0.66,0.039,0,0,0,0,0,0,1,0,0,0,0,0,0
165.9,0,3994,0,82.0,9,2019,0.193,0.893,0,0,0,0,0,0,0,1,0,0,0,0,0
7.86,0,1643,0,43.0,1,2020,0.494,0.934,0,0,0,0,0,0,0,0,0,0,1,0,0
59.52,0,222,0,56.0,1,2020,0.397,0.924,0,0,0,0,0,0,0,0,0,0,1,0,0
