amt,gender,city_pop,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
92.07,1,198,59.0,3,2019,0.701,0.163,0,0,0,0,0,0,1,0,0,0,0,0,0
99.2,1,1680,42.0,6,2019,0.219,0.474,0,0,0,1,0,0,0,0,0,0,0,0,0
24.96,1,1022298,42.0,8,2019,0.564,0.691,0,0,0,0,0,0,0,0,0,1,0,0,0
1046.02,1,28739,19.0,4,2019,0.926,0.774,0,0,0,0,0,0,0,0,0,0,1,0,0
873.82,1,910148,31.0,3,2019,0.651,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0
30.77,0,1420,54.0,5,2020,0.352,0.792,0,0,0,0,0,0,0,0,0,0,0,0,0
133.36,1,269,56.0,7,2019,0.971,0.564,0,0,0,1,0,0,0,0,0,0,0,0,0
1032.46,1,3776,42.0,2,2019,0.367,0.306,0,0,0,0,0,0,0,0,0,0,1,0,0
50.15,0,888,32.0,5,2020,0.59,0.033,0,1,0,0,0,0,0,0,0,0,0,0,0
47.99,0,13973,38.0,8,2019,0.388,0.277,0,0,0,0,0,0,0,0,0,0,1,0,0
71.38,0,498,28.0,4,2019,0.895,0.312,0,1,0,0,0,0,0,0,0,0,0,0,0
48.45,1,589,74.0,2,2020,0.393,0.001,0,1,0,0,0,0,0,0,0,0,0,0,0
5.35,0,51,58.0,3,2019,0.764,0.172,0,0,0,0,0,0,0,0,0,0,1,0,0
82.67,0,6841,20.0,3,2020,0.422,0.607,0,1,0,0,0,0,0,0,0,0,0,0,0
296.89,1,190178,59.0,2,2019,0.942,0.727,0,0,0,1,0,0,0,0,0,0,0,0,0
260.11,1,741,33.0,12,2019,0.969,0.674,0,0,0,1,0,0,0,0,0,0,0,0,0
816.89,0,973849,63.0,1,2019,0.029,0.678,0,0,0,0,0,0,0,1,0,0,0,0,0
4.88,1,1766,57.0,10,2019,0.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0
62.07,1,1700,17.0,11,2019,0.583,0.271,0,1,0,0,0,0,0,0,0,0,0,0,0
97.94,1,198,40.0,10,2019,0.287,0.492,0,0,0,1,0,0,0,0,0,0,0,0,0
764.92,1,214518,59.0,1,2020,0.353,0.777,0,0,0,0,0,0,0,1,0,0,0,0,0
61.78,1,2870,21.0,5,2020,0.522,0.204,0,0,0,0,0,1,0,0,0,0,0,0,0
779.28,1,76,64.0,9,2019,0.307,0.247,0,0,0,0,0,0,0,0,0,0,0,1,0
121.91,1,1512,16.0,7,2019,0.006,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0
311.96,0,4913,53.0,4,2020,0.657,0.343,0,0,0,1,0,0,0,0,0,0,0,0,0
123.88,1,4367,57.0,12,2019,0.309,0.96,0,0,0,0,1,0,0,0,0,0,0,0,0
107.34,1,5507,45.0,2,2019,0.912,0.776,0,0,0,0,0,0,1,0,0,0,0,0,0
7.68,0,92043,58.0,7,2019,0.843,0.415,0,0,0,0,1,0,0,0,0,0,0,0,0
28.78,1,832,32.0,3,2020,0.393,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0
301.54,0,2786,53.0,8,2019,0.725,0.546,0,0,0,1,0,0,0,0,0,0,0,0,0
436.78,1,757530,40.0,9,2019,0.681,0.883,0,0,0,0,0,0,0,0,0,0,0,0,0
72.71,0,454,47.0,11,2019,0.326,0.746,0,1,0,0,0,0,0,0,0,0,0,0,0
1104.91,1,4729,36.0,1,2019,0.901,0.445,0,0,0,0,0,0,0,0,0,0,1,0,0
2.21,1,267,14.0,10,2019,0.916,0.466,1,0,0,0,0,0,0,0,0,0,0,0,0
635.33,0,337,64.0,5,2019,0.395,0.587,0,0,0,0,0,0,0,1,0,0,0,0,0
22.22,0,516,53.0,12,2019,0.935,0.304,0,0,0,0,0,0,1,0,0,0,0,0,0
2.67,0,888,31.0,3,2020,0.574,0.438,1,0,0,0,0,0,0,0,0,0,0,0,0
270.28,0,2749,21.0,1,2019,0.422,0.817,0,0,0,1,0,0,0,0,0,0,0,0,0
20.72,0,61,80.0,3,2020,0.397,0.923,0,0,0,0,0,1,0,0,0,0,0,0,0
4.06,0,320,59.0,6,2020,0.414,0.198,0,0,0,0,0,0,1,0,0,0,0,0,0
328.58,1,238602,25.0,1,2019,0.75,0.172,0,0,0,1,0,0,0,0,0,0,0,0,0
973.97,1,68211,78.0,6,2019,0.692,0.756,0,0,0,0,0,0,0,0,0,0,1,0,0
2.81,0,302,29.0,1,2020,0.098,0.872,0,0,0,0,0,0,0,0,0,0,0,1,0
862.09,1,365,48.0,2,2019,0.372,0.788,0,0,0,0,0,0,0,1,0,0,0,0,0
20.41,0,1645,33.0,3,2019,0.872,0.798,0,0,0,0,0,0,0,0,0,1,0,0,0
885.32,0,1810,44.0,5,2019,0.673,0.972,0,0,0,0,0,0,0,0,0,0,1,0,0
198.2,0,4056,29.0,11,2019,0.981,0.519,0,0,0,1,0,0,0,0,0,0,0,0,0
7.65,0,2135,14.0,3,2019,0.393,0.606,1,0,0,0,0,0,0,0,0,0,0,0,0
12.37,0,23,50.0,4,2020,0.407,0.205,1,0,0,0,0,0,0,0,0,0,0,0,0
1116.59,0,1263321,70.0,12,2019,0.701,0.472,0,0,0,0,0,0,0,0,0,0,1,0,0
43.06,0,1201,39.0,5,2019,0.79,0.499,0,1,0,0,0,0,0,0,0,0,0,0,0
5.28,0,1274,70.0,2,2020,0.558,0.173,0,0,0,0,0,0,0,0,0,0,0,1,0
10.49,0,743,47.0,7,2019,0.015,0.442,0,0,0,0,0,0,0,1,0,0,0,0,0
93.24,1,749635,46.0,9,2019,0.527,0.83,0,0,0,0,0,1,0,0,0,0,0,0,0
973.28,1,4159,21.0,8,2019,0.918,0.512,0,0,0,0,0,0,0,0,0,0,1,0,0
19.51,0,1643,42.0,1,2019,0.165,0.562,0,0,0,0,1,0,0,0,0,0,0,0,0
275.15,0,136895,79.0,1,2019,0.626,0.501,0,0,0,1,0,0,0,0,0,0,0,0,0
99.48,0,276002,85.0,6,2019,0.742,0.221,0,0,0,0,0,0,1,0,0,0,0,0,0
820.28,1,42619,43.0,9,2019,0.899,0.197,0,0,0,0,0,0,0,1,0,0,0,0,0
1083.02,1,2457,38.0,4,2019,0.223,0.933,0,0,0,0,0,0,0,0,0,0,1,0,0
46.09,0,5875,27.0,12,2019,0.516,0.319,1,0,0,0,0,0,0,0,0,0,0,0,0
291.98,1,1102,30.0,7,2019,0.588,0.343,0,0,0,1,0,0,0,0,0,0,0,0,0
65.49,1,76383,34.0,5,2019,0.798,0.975,0,0,0,0,0,0,0,1,0,0,0,0,0
2.07,0,4993,70.0,11,2019,0.211,0.762,0,0,0,0,0,0,0,0,0,0,0,1,0
30.81,0,31394,22.0,3,2019,0.533,0.591,0,0,1,0,0,0,0,0,0,0,0,0,0
116.96,1,2916,84.0,6,2020,0.879,0.22,0,0,0,1,0,0,0,0,0,0,0,0,0
65.21,1,463,71.0,5,2020,0.302,0.311,0,1,0,0,0,0,0,0,0,0,0,0,0
875.12,1,2317,54.0,3,2019,0.066,0.733,0,0,0,0,0,0,0,0,0,0,0,1,0
43.57,0,2401,47.0,6,2019,0.465,0.238,0,0,0,0,1,0,0,0,0,0,0,0,0
3.61,1,1126,63.0,5,2019,0.039,0.878,0,0,0,0,0,0,0,0,0,0,0,1,0
960.73,1,928,34.0,5,2020,0.134,0.564,0,0,0,0,0,0,0,0,0,0,1,0,0
6.96,1,28739,19.0,11,2019,0.283,0.932,0,0,0,0,0,0,0,1,0,0,0,0,0
71.8,0,105638,33.0,4,2020,0.209,0.41,0,0,0,0,0,1,0,0,0,0,0,0,0
883.7,0,106,36.0,12,2019,0.013,0.066,0,0,0,0,0,0,0,0,1,0,0,0,0
294.63,1,24840,58.0,1,2019,0.042,0.572,0,0,0,1,0,0,0,0,0,0,0,0,0
19.94,0,3066,91.0,4,2020,0.519,0.986,0,0,0,0,0,0,0,0,0,1,0,0,0
70.09,0,2303,31.0,7,2019,0.913,0.928,0,1,0,0,0,0,0,0,0,0,0,0,0
773.63,0,144160,35.0,6,2019,0.777,0.986,0,0,0,0,0,0,0,1,0,0,0,0,0
45.56,0,910148,43.0,8,2019,0.716,0.555,0,0,1,0,0,0,0,0,0,0,0,0,0
22.1,0,10295,21.0,3,2019,0.488,0.943,0,0,0,0,0,0,1,0,0,0,0,0,0
33.79,0,6951,34.0,1,2020,0.77,0.596,0,0,0,0,0,0,0,0,0,1,0,0,0
812.56,1,1758,62.0,9,2019,0.796,0.553,0,0,0,0,0,0,0,0,0,0,1,0,0
11.01,1,972,21.0,9,2019,0.334,0.245,1,0,0,0,0,0,0,0,0,0,0,0,0
104.48,1,4729,37.0,12,2019,0.136,0.028,0,0,0,0,1,0,0,0,0,0,0,0,0
885.42,1,143,37.0,8,2019,0.844,0.369,0,0,0,0,0,0,0,0,0,0,0,1,0
44.55,0,167,30.0,10,2019,0.296,0.675,0,0,0,0,1,0,0,0,0,0,0,0,0
30.86,0,1766,43.0,7,2019,0.17,0.843,0,0,0,0,0,1,0,0,0,0,0,0,0
745.17,1,2054,43.0,5,2020,0.65,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0
46.25,0,4512,27.0,6,2020,0.178,0.97,0,0,0,0,1,0,0,0,0,0,0,0,0
716.15,1,128715,24.0,12,2019,0.199,0.38,0,0,0,0,0,0,0,0,0,0,0,1,0
68.63,1,895,20.0,4,2020,0.542,0.751,0,0,0,0,1,0,0,0,0,0,0,0,0
16.09,0,1850,55.0,4,2019,0.973,0.291,0,0,0,0,0,1,0,0,0,0,0,0,0
68.48,0,736284,58.0,4,2020,0.394,0.912,0,1,0,0,0,0,0,0,0,0,0,0,0
13.98,0,3994,83.0,4,2020,0.375,0.182,0,0,0,0,1,0,0,0,0,0,0,0,0
9.66,0,467,69.0,4,2020,0.742,0.485,0,0,0,0,0,0,0,0,0,1,0,0,0
26.06,0,3688,32.0,5,2020,0.765,0.106,0,0,0,0,0,0,0,0,0,1,0,0,0
309.75,0,233717,54.0,5,2020,0.57,0.343,0,0,0,1,0,0,0,0,0,0,0,0,0
741.78,0,121,22.0,2,2019,0.4,0.002,0,0,0,0,0,0,0,1,0,0,0,0,0
907.57,0,70,63.0,5,2020,0.924,0.151,0,0,0,0,0,0,0,1,0,0,0,0,0
59.49,0,1019,41.0,4,2020,0.909,0.416,0,0,0,0,0,0,0,1,0,0,0,0,0
22.51,0,5161,26.0,5,2019,0.541,0.448,0,0,0,0,0,0,0,0,0,1,0,0,0
754.98,1,163415,43.0,5,2019,0.006,0.667,0,0,0,0,0,0,0,1,0,0,0,0,0
733.32,0,297,57.0,6,2019,0.208,0.616,0,0,0,0,0,0,0,1,0,0,0,0,0
7.85,0,1810,44.0,5,2019,0.731,0.569,0,0,0,0,0,0,0,0,0,0,0,1,0
20.25,0,641349,52.0,2,2019,0.052,0.934,0,0,0,0,0,0,0,0,0,1,0,0,0
38.55,0,7646,30.0,5,2019,0.961,0.298,0,0,0,0,0,0,1,0,0,0,0,0,0
297.54,0,1850,55.0,11,2019,0.702,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0
882.67,0,718,34.0,6,2019,0.586,0.732,0,0,0,0,0,0,0,0,0,0,0,1,0
785.08,1,409656,34.0,2,2020,0.166,0.688,0,0,0,0,0,0,0,1,0,0,0,0,0
7.58,0,601723,33.0,3,2020,0.435,0.827,0,0,0,0,0,0,0,0,0,1,0,0,0
61.77,0,299480,35.0,1,2020,0.187,0.033,0,0,0,0,0,0,0,0,0,0,1,0,0
57.37,1,172817,37.0,11,2019,0.356,0.619,0,0,0,0,0,1,0,0,0,0,0,0,0
510.95,0,1749,46.0,12,2019,0.595,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0
17.95,1,2470,50.0,7,2019,0.65,0.616,0,1,0,0,0,0,0,0,0,0,0,0,0
6.12,0,1228,28.0,11,2019,0.894,0.766,0,0,0,0,0,0,0,0,0,1,0,0,0
21.74,0,217,91.0,2,2020,0.656,0.996,0,1,0,0,0,0,0,0,0,0,0,0,0
2.45,1,71335,24.0,5,2019,0.781,0.531,0,0,0,0,0,0,0,0,0,0,1,0,0
19.62,0,8333,25.0,4,2020,0.364,0.556,0,0,0,0,0,0,0,0,0,0,1,0,0
47.52,1,757530,52.0,6,2019,0.543,0.634,0,0,0,0,1,0,0,0,0,0,0,0,0
3.6,1,298,57.0,4,2020,0.116,0.781,0,0,0,0,0,0,1,0,0,0,0,0,0
44.31,1,128715,24.0,4,2020,0.083,0.082,0,0,1,0,0,0,0,0,0,0,0,0,0
2.64,0,302,46.0,2,2020,0.775,0.932,0,0,0,0,0,0,0,0,0,0,0,1,0
75.31,1,1126,39.0,9,2019,0.951,0.549,0,0,0,0,0,0,0,0,0,1,0,0,0
21.71,1,2470,50.0,7,2019,0.656,0.649,0,1,0,0,0,0,0,0,0,0,0,0,0
36.39,1,1766,56.0,5,2019,0.538,0.522,0,0,0,0,0,0,0,0,0,1,0,0,0
46.32,1,1202,86.0,12,2019,0.487,0.912,0,0,0,0,0,0,0,0,0,1,0,0,0
7.32,1,3402,91.0,4,2019,0.013,0.188,0,0,0,0,0,0,0,0,0,0,0,1,0
42.15,1,123,47.0,4,2020,0.94,0.003,0,0,0,0,0,0,0,0,1,0,0,0,0
817.99,0,509,39.0,4,2020,0.826,0.214,0,0,0,0,0,0,0,0,1,0,0,0,0
1048.41,0,1930,35.0,5,2019,0.124,0.07,0,0,0,0,0,0,0,0,0,0,1,0,0
6.75,1,4154,58.0,5,2020,0.106,0.448,0,0,0,0,0,0,0,0,0,0,0,1,0
696.76,1,2518,72.0,1,2019,0.103,0.441,0,0,0,0,0,0,0,1,0,0,0,0,0
2.25,0,5760,40.0,5,2019,0.696,0.276,0,0,0,0,0,0,0,1,0,0,0,0,0
247.3,0,9594,22.0,2,2020,0.454,0.649,0,0,0,0,0,0,0,0,0,0,0,1,0
1281.51,0,584,50.0,8,2019,0.977,0.238,0,0,0,0,0,0,0,0,0,0,1,0,0
838.43,0,26551,42.0,8,2019,0.862,0.238,0,0,0,0,0,0,0,0,0,0,0,1,0
810.59,1,28506,80.0,8,2019,0.672,0.147,0,0,0,0,0,0,0,1,0,0,0,0,0
942.33,1,1897,66.0,10,2019,0.114,0.097,0,0,0,0,0,0,0,0,0,0,1,0,0
120.75,0,969,65.0,6,2019,0.371,0.138,1,0,0,0,0,0,0,0,0,0,0,0,0
33.68,0,344,53.0,4,2020,0.185,0.048,0,0,0,0,0,0,0,0,1,0,0,0,0
813.46,0,2263,35.0,12,2019,0.209,0.607,0,0,0,0,0,0,0,0,0,0,0,1,0
7.52,1,2317,55.0,12,2019,0.826,0.91,0,0,0,0,0,1,0,0,0,0,0,0,0
25.66,0,18128,29.0,4,2020,0.86,0.467,0,0,1,0,0,0,0,0,0,0,0,0,0
770.94,1,2202,44.0,1,2019,0.546,0.028,0,0,0,0,0,0,0,0,0,0,0,1,0
78.16,1,795,34.0,5,2020,0.364,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0
19.92,1,5196,41.0,5,2019,0.375,0.158,0,0,0,0,0,0,0,0,1,0,0,0,0
57.37,0,23,50.0,1,2020,0.807,0.755,0,1,0,0,0,0,0,0,0,0,0,0,0
327.84,0,34496,48.0,9,2019,0.788,0.367,0,0,0,1,0,0,0,0,0,0,0,0,0
935.2,0,5895,44.0,8,2019,0.554,0.021,0,0,0,0,0,0,0,0,0,0,1,0,0
324.38,1,239,63.0,7,2019,0.253,0.352,0,0,0,1,0,0,0,0,0,0,0,0,0
32.78,0,338,31.0,3,2020,0.195,0.902,1,0,0,0,0,0,0,0,0,0,0,0,0
106.98,0,5950,47.0,1,2019,0.832,0.66,0,0,1,0,0,0,0,0,0,0,0,0,0
9.04,0,230,22.0,10,2019,0.708,0.231,0,1,0,0,0,0,0,0,0,0,0,0,0
248.04,0,1019,40.0,9,2019,0.871,0.379,0,0,0,0,0,1,0,0,0,0,0,0,0
7.11,0,1146,89.0,2,2019,0.266,0.295,0,0,0,0,0,0,0,0,0,0,0,1,0
65.46,0,5621,46.0,11,2019,0.593,0.358,0,0,0,0,0,0,1,0,0,0,0,0,0
915.85,1,749635,47.0,5,2020,0.478,0.098,0,0,0,0,0,0,0,0,0,0,1,0,0
342.37,0,1100,70.0,6,2020,0.965,0.167,0,0,0,1,0,0,0,0,0,0,0,0,0
341.21,0,533,30.0,2,2020,0.687,0.889,0,0,0,1,0,0,0,0,0,0,0,0,0
874.52,0,1179,64.0,9,2019,0.833,0.789,0,0,0,0,0,0,0,1,0,0,0,0,0
19.21,0,53,46.0,5,2019,0.781,0.926,0,0,0,0,0,0,1,0,0,0,0,0,0
2.83,0,190249,43.0,12,2019,0.181,0.439,0,0,0,0,0,0,0,0,0,0,0,0,1
7.94,1,207410,35.0,8,2019,0.566,0.916,0,0,0,0,0,0,0,0,0,0,0,1,0
12.25,1,9165,56.0,9,2019,0.636,0.347,0,1,0,0,0,0,0,0,0,0,0,0,0
4.99,0,1930,36.0,8,2019,0.327,0.014,0,0,0,0,0,0,0,0,0,0,0,1,0
96.51,0,3430,70.0,5,2020,0.365,0.216,0,0,0,0,0,1,0,0,0,0,0,0,0
97.33,1,737,33.0,5,2020,0.307,0.772,0,0,0,0,0,1,0,0,0,0,0,0,0
974.87,1,333497,51.0,12,2019,0.514,0.651,0,0,0,0,0,0,0,0,0,0,1,0,0
294.0,1,7322,71.0,10,2019,0.868,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0
135.79,0,6120,42.0,3,2019,0.283,0.612,0,0,0,0,0,0,0,0,1,0,0,0,0
55.98,1,158701,41.0,4,2019,0.534,0.961,0,0,0,1,0,0,0,0,0,0,0,0,0
1174.24,1,804,54.0,7,2019,0.742,0.173,0,0,0,0,0,0,0,0,0,0,1,0,0
121.37,0,1925,52.0,1,2019,0.242,0.642,0,0,0,0,0,1,0,0,0,0,0,0,0
42.58,1,645,46.0,6,2020,0.325,0.908,0,0,0,0,0,0,1,0,0,0,0,0,0
3.75,1,389246,49.0,11,2019,0.318,0.973,0,0,0,0,1,0,0,0,0,0,0,0,0
1065.98,1,419,29.0,12,2019,0.451,0.455,0,0,0,0,0,0,0,0,0,0,1,0,0
59.8,0,1725,44.0,9,2019,0.878,0.385,0,0,0,0,0,1,0,0,0,0,0,0,0
856.13,0,98816,70.0,9,2019,0.996,0.699,0,0,0,0,0,0,0,1,0,0,0,0,0
13.93,0,1143,58.0,5,2020,0.309,0.83,0,0,0,0,0,0,1,0,0,0,0,0,0
82.26,0,922,47.0,12,2019,0.767,0.212,0,0,0,0,0,0,1,0,0,0,0,0,0
50.35,1,123,46.0,12,2019,0.852,0.075,0,0,0,0,0,0,1,0,0,0,0,0,0
470.05,1,140,29.0,7,2019,0.509,0.513,0,0,0,0,0,0,0,0,0,0,0,0,1
659.33,0,121,22.0,2,2019,0.366,0.973,0,0,0,0,0,0,0,1,0,0,0,0,0
335.35,1,22930,48.0,4,2020,0.71,0.682,0,0,0,1,0,0,0,0,0,0,0,0,0
707.5,0,1472,77.0,1,2019,0.266,0.892,0,0,0,0,0,0,0,1,0,0,0,0,0
1027.22,0,51,58.0,6,2019,0.81,0.943,0,0,0,0,0,0,0,0,0,0,1,0,0
82.36,1,291,28.0,7,2019,0.854,0.574,0,0,0,0,0,1,0,0,0,0,0,0,0
332.65,1,341,41.0,5,2020,0.059,0.502,0,0,0,1,0,0,0,0,0,0,0,0,0
49.6,0,1420,53.0,4,2019,0.848,0.067,0,0,0,0,0,0,0,0,0,1,0,0,0
18.96,1,5451,57.0,10,2019,0.135,0.413,0,0,0,0,1,0,0,0,0,0,0,0,0
881.95,0,413574,51.0,2,2020,0.32,0.079,0,0,0,0,0,0,0,1,0,0,0,0,0
6.29,0,372,24.0,12,2019,0.97,0.213,0,0,0,0,1,0,0,0,0,0,0,0,0
41.33,0,50489,35.0,2,2020,0.707,0.198,0,0,0,0,0,1,0,0,0,0,0,0,0
731.6,1,1241364,31.0,1,2019,0.751,0.301,0,0,0,0,0,0,0,1,0,0,0,0,0
776.09,0,254,66.0,2,2019,0.281,0.133,0,0,0,0,0,0,0,0,0,0,0,1,0
776.21,0,4198,17.0,5,2019,0.173,0.727,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3,1,74,74.0,4,2019,0.139,0.337,0,0,0,0,0,0,0,1,0,0,0,0,0
289.8,1,126,26.0,1,2019,0.178,0.087,0,0,0,1,0,0,0,0,0,0,0,0,0
146.76,0,8007,78.0,6,2019,0.982,0.594,0,0,0,0,1,0,0,0,0,0,0,0,0
100.47,0,1789,37.0,6,2019,0.538,0.086,0,0,0,0,0,0,0,0,1,0,0,0,0
339.8,1,258,58.0,4,2020,0.735,0.052,0,0,0,1,0,0,0,0,0,0,0,0,0
955.89,1,2208,57.0,6,2019,0.7,0.553,0,0,0,0,0,0,0,0,0,0,0,1,0
864.17,0,118,62.0,12,2019,0.488,0.23,0,0,0,0,0,0,0,1,0,0,0,0,0
79.05,1,1946,29.0,8,2019,0.124,0.589,0,0,0,0,0,0,0,0,0,0,0,0,0
758.79,0,4895,60.0,2,2019,0.67,0.583,0,0,0,0,0,0,0,1,0,0,0,0,0
19.85,0,509,39.0,4,2020,0.466,0.389,0,0,0,0,0,0,1,0,0,0,0,0,0
308.84,1,5507,45.0,1,2019,0.674,0.515,0,0,0,1,0,0,0,0,0,0,0,0,0
48.38,1,828,62.0,5,2020,0.482,0.407,0,1,0,0,0,0,0,0,0,0,0,0,0
146.4,0,320420,43.0,1,2019,0.027,0.499,0,0,0,0,0,0,0,0,0,0,0,1,0
8.01,1,53,26.0,2,2019,0.311,0.939,0,0,0,0,0,0,0,0,1,0,0,0,0
9.26,0,824,34.0,5,2020,0.381,0.642,0,0,0,0,0,0,0,1,0,0,0,0,0
918.23,1,2092,57.0,8,2019,0.544,0.124,0,0,0,0,0,0,0,1,0,0,0,0,0
634.64,1,308,61.0,11,2019,0.544,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,320420,43.0,7,2019,0.708,0.285,0,0,0,0,0,0,0,0,0,0,0,1,0
175.83,0,2368,30.0,9,2019,0.088,0.164,0,0,0,0,0,0,1,0,0,0,0,0,0
6.09,0,2328,77.0,5,2019,0.266,0.703,0,0,0,0,0,0,0,0,0,1,0,0,0
34.86,1,47249,38.0,9,2019,0.959,0.398,0,0,1,0,0,0,0,0,0,0,0,0,0
37.65,1,972,21.0,7,2019,0.083,0.241,0,0,1,0,0,0,0,0,0,0,0,0,0
35.42,0,1312922,38.0,12,2019,0.602,0.791,0,0,0,0,0,0,1,0,0,0,0,0,0
796.55,1,381459,46.0,3,2020,0.457,0.716,0,0,0,0,0,0,0,1,0,0,0,0,0
126.78,0,493,78.0,5,2019,0.083,0.129,1,0,0,0,0,0,0,0,0,0,0,0,0
88.61,0,163415,14.0,12,2019,0.246,0.017,0,0,0,0,1,0,0,0,0,0,0,0,0
282.74,0,736284,57.0,5,2019,0.281,0.552,0,0,0,1,0,0,0,0,0,0,0,0,0
120.81,0,1970,33.0,7,2019,0.27,0.786,0,0,0,0,0,1,0,0,0,0,0,0,0
84.21,1,2870,20.0,12,2019,0.698,0.222,0,0,0,1,0,0,0,0,0,0,0,0,0
135.59,0,46563,48.0,4,2019,0.825,0.874,0,0,0,0,0,0,0,0,1,0,0,0,0
765.5,1,2290,73.0,6,2019,0.627,0.426,0,0,0,0,0,0,0,0,0,0,0,1,0
141.95,1,192,55.0,6,2019,0.74,0.554,0,0,0,1,0,0,0,0,0,0,0,0,0
293.58,1,137,53.0,3,2020,0.349,0.002,0,0,0,1,0,0,0,0,0,0,0,0,0
7.27,1,532,63.0,9,2019,0.114,0.701,0,0,0,0,0,0,0,1,0,0,0,0,0
18.09,1,1241364,60.0,3,2020,0.784,0.772,0,0,0,0,0,1,0,0,0,0,0,0,0
38.57,1,4664,54.0,12,2019,0.524,0.423,0,0,0,0,0,0,1,0,0,0,0,0,0
199.11,0,6951,34.0,12,2019,0.879,0.702,0,0,0,1,0,0,0,0,0,0,0,0,0
110.39,1,1022298,42.0,4,2019,0.256,0.992,1,0,0,0,0,0,0,0,0,0,0,0,0
1.89,1,673342,73.0,12,2019,0.274,0.915,0,0,0,0,0,0,0,0,1,0,0,0,0
6.7,1,972,22.0,4,2020,0.208,0.079,0,0,0,0,0,0,0,0,0,0,1,0,0
50.15,0,61,79.0,5,2019,0.06,0.762,0,1,0,0,0,0,0,0,0,0,0,0,0
